Target,Source,BDeu
AT5G44030,AT5G59820,-332.086414287174
AT5G44030,AT2G18350,-348.204510038132
AT5G44030,AT4G28140,-349.100597748403
AT5G44030,AT3G15210,-351.808646774506
AT5G44030,AT3G56980,-364.882221586549
AT5G44030,AT5G66700,-365.218693499361
AT5G44030,AT1G43700,-370.922473624019
AT5G44030,AT3G56970,-372.357557358832
AT5G44030,AT1G75490,-382.09892895951
AT5G44030,AT2G23340,-384.332520240541
AT5G44030,AT3G16857,-385.836596803984
AT5G44030,AT1G49475,-386.173068583463
AT5G44030,AT3G58190,-387.271680538798
AT5G44030,AT1G77450,-387.271680538798
AT5G44030,AT4G29930,-387.271680538798
AT5G44030,AT5G17490,-387.271680538798
AT5G44030,AT5G51790,-387.271680538798
AT5G44030,AT1G74500,-387.271680538798
AT5G44030,AT3G03450,-387.271680538798
AT5G44030,AT1G10480,-387.271680538798
AT5G44030,AT2G40220,-387.271680538798
AT5G44030,AT2G44940,-387.271680538798
AT5G44030,AT3G18400,-387.271680538798
AT5G44030,AT5G60890,-387.271680538798
AT5G44030,AT3G15500,-397.215992944186
AT5G44030,AT5G53950,-400.345255042509
AT5G44030,AT5G19790,-400.904870973301
AT5G44030,AT1G30650,-401.598017653861
AT5G44030,AT3G11580,-401.780338777322
AT5G44030,AT5G03740,-402.291164334422
AT5G44030,AT2G40970,-402.291164334422
AT5G44030,AT1G75080,-402.291164334422
AT5G44030,AT4G00050,-402.291164334422
AT5G44030,AT4G30980,-402.291164334422
AT5G44030,AT4G37610,-402.291164334422
AT5G44030,AT5G47390,-402.291164334422
AT5G44030,AT3G50330,-403.389776289756
AT5G44030,AT1G36060,-403.389776289756
AT5G44030,AT1G43160,-403.389776289756
AT5G44030,AT3G03660,-403.389776289756
AT5G44030,AT1G71030,-403.389776289756
AT5G44030,AT2G25900,-403.389776289756
AT5G44030,AT3G01970,-403.389776289756
AT5G44030,AT3G16770,-403.389776289756
AT5G44030,AT3G60530,-403.389776289756
AT5G44030,AT4G00180,-403.389776289756
AT5G44030,AT4G00730,-403.389776289756
AT5G44030,AT5G12330,-403.389776289756
AT5G44030,AT1G56650,-403.389776289756
AT5G44030,AT3G17600,-403.389776289756
AT5G44030,AT3G27650,-403.389776289756
AT5G44030,AT4G00150,-403.389776289756
AT5G44030,AT4G01250,-403.389776289756
AT5G44030,AT4G06746,-403.389776289756
AT5G44030,AT4G14540,-403.389776289756
AT5G44030,AT4G27900,-403.389776289756
AT5G44030,AT4G29080,-403.389776289756
AT5G44030,AT4G39780,-403.389776289756
AT5G44030,AT5G25890,-403.389776289756
AT5G44030,AT1G28520,-403.389776289756
AT5G44030,AT1G50420,-403.389776289756
AT5G44030,AT1G72450,-403.389776289756
AT5G44030,AT1G79700,-403.389776289756
AT5G44030,AT2G04890,-403.389776289756
AT5G44030,AT2G14210,-403.389776289756
AT5G44030,AT2G23290,-403.389776289756
AT5G44030,AT2G24260,-403.389776289756
AT5G44030,AT3G24120,-403.389776289756
AT5G44030,AT4G37260,-403.389776289756
AT5G44030,AT5G07100,-403.389776289756
AT5G44030,AT5G13790,-403.389776289756
AT5G44030,AT5G21120,-403.389776289756
AT5G44030,AT5G57620,-403.389776289756
AT5G44030,AT5G61420,-403.389776289756
AT5G44030,AT4G36780,-404.082922970317
AT5G44030,AT1G59750,-411.096042781621
AT5G44030,AT1G64380,-414.679560456189
AT5G44030,AT5G44160,-415.008064270383
AT5G44030,AT5G58010,-415.413529211825
AT5G44030,AT1G65300,-415.701210950944
AT5G44030,AT1G67710,-415.701211200943
AT5G44030,AT1G03970,-415.834742325711
AT5G44030,AT5G22890,-417.898434528281
AT5G44030,AT4G01720,-417.898434528281
AT5G44030,AT4G25470,-421.445584596376
AT5G44030,AT1G09530,-425.884596832662
AT5G44030,AT1G27650,-429.111257817466
AT5G44030,AT2G28200,-432.630236518119
AT5G44030,AT1G65330,-433.542072467501
AT5G44030,AT1G12890,-436.513858515692
AT5G44030,AT3G06740,-445.529458130319
AT5G44030,AT3G60630,-451.427982028991
AT5G44030,AT1G07640,-451.427982028991
AT5G44030,AT1G74650,-454.27775905778
