Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,-147.743327828,124,141
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,-117.380539464,29,34
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-147.743327828,124,141
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-147.05018096,108,124
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,-132.764666148,74,80
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-146.357034092,94,105
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-130.567442404,45,47
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-161.335695773,143,153
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,-101.708730759,4,5
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-162.028842641,153,175
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,-147.05018096,108,124
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,-103.095024652,12,13
