Target,Source,BDeu
AT2G37090,AT3G56970,-777.003488924041
AT2G37090,AT2G23340,-789.83817139566
AT2G37090,AT5G58010,-790.125853245889
AT2G37090,AT3G50330,-790.819000259782
AT2G37090,AT5G03740,-790.819000259782
AT2G37090,AT1G36060,-790.819000259782
AT2G37090,AT1G43160,-790.819000259782
AT2G37090,AT3G03660,-790.819000259782
AT2G37090,AT1G71030,-790.819000259782
AT2G37090,AT2G25900,-790.819000259782
AT2G37090,AT3G01970,-790.819000259782
AT2G37090,AT3G16770,-790.819000259782
AT2G37090,AT4G00180,-790.819000259782
AT2G37090,AT4G00730,-790.819000259782
AT2G37090,AT5G12330,-790.819000259782
AT2G37090,AT1G56650,-790.819000259782
AT2G37090,AT2G40970,-790.819000259782
AT2G37090,AT3G17600,-790.819000259782
AT2G37090,AT3G27650,-790.819000259782
AT2G37090,AT4G27900,-790.819000259782
AT2G37090,AT4G39780,-790.819000259782
AT2G37090,AT5G25890,-790.819000259782
AT2G37090,AT3G58190,-790.819000259783
AT2G37090,AT1G77450,-790.819000259783
AT2G37090,AT4G29930,-790.819000259783
AT2G37090,AT5G17490,-790.819000259783
AT2G37090,AT5G51790,-790.819000259783
AT2G37090,AT1G74500,-790.819000259783
AT2G37090,AT3G60530,-805.039976592521
AT2G37090,AT4G00150,-805.039976592521
AT2G37090,AT4G01250,-805.039976592521
AT2G37090,AT4G06746,-805.039976592521
AT2G37090,AT4G14540,-805.039976592521
AT2G37090,AT4G29080,-805.039976592521
AT2G37090,AT1G49475,-805.039976592521
AT2G37090,AT3G03450,-805.039976592521
AT2G37090,AT5G22890,-806.831735283972
AT2G37090,AT3G15210,-810.009787836543
AT2G37090,AT5G19790,-822.151323460935
AT2G37090,AT1G17310,-838.451740724243
AT2G37090,AT1G74840,-887.670202718964
AT2G37090,AT3G06740,-888.427887787328
AT2G37090,AT1G64380,-889.996502960798
AT2G37090,AT3G56400,-902.831185376861
AT2G37090,AT3G10040,-903.459794225172
AT2G37090,AT1G42990,-916.112155384441
AT2G37090,AT5G64750,-918.150768909381
AT2G37090,AT5G44260,-918.150773553824
AT2G37090,AT2G46990,-923.266768208023
AT2G37090,AT2G43140,-932.65943201457
AT2G37090,AT3G60630,-932.947109109246
AT2G37090,AT4G25470,-934.738867800697
AT2G37090,AT2G25820,-939.097181919863
AT2G37090,AT4G09460,-946.592721408192
AT2G37090,AT5G23280,-946.880403091756
AT2G37090,AT2G28550,-946.880403091756
AT2G37090,AT4G28110,-952.401867720728
AT2G37090,AT1G79840,-958.588074122406
AT2G37090,AT5G39610,-962.199996246494
AT2G37090,AT5G51780,-964.684896974062
AT2G37090,AT1G28370,-966.047480019674
AT2G37090,AT1G57560,-968.26841502363
AT2G37090,AT4G37540,-970.024040124018
AT2G37090,AT3G61630,-970.206361436367
AT2G37090,AT5G10970,-974.118383208463
AT2G37090,AT4G11140,-975.111634681473
AT2G37090,AT5G06710,-978.500408309804
AT2G37090,AT5G41570,-978.50041328758
AT2G37090,AT5G53660,-979.352165820539
AT2G37090,AT5G47640,-980.292167167921
AT2G37090,AT2G36080,-980.697632331585
AT2G37090,AT4G31550,-983.993468197589
AT2G37090,AT4G17500,-985.092080041813
AT2G37090,AT1G67100,-988.927145850548
AT2G37090,AT3G58710,-992.721384642543
AT2G37090,AT1G44830,-995.899437695113
AT2G37090,AT5G08330,-996.59258454234
AT2G37090,AT5G13910,-1001.72100583876
AT2G37090,AT1G66140,-1003.54116490473
AT2G37090,AT5G10120,-1004.42905561764
AT2G37090,AT4G05100,-1004.98070324704
AT2G37090,AT1G47760,-1005.73838859318
AT2G37090,AT5G47220,-1006.14385359018
AT2G37090,AT3G19580,-1006.71921762397
AT2G37090,AT5G57520,-1014.70187149833
AT2G37090,AT5G60850,-1015.17187482758
AT2G37090,AT3G15030,-1016.49363035645
AT2G37090,AT5G12870,-1017.76214123747
AT2G37090,AT5G43170,-1019.08389676634
AT2G37090,AT1G29160,-1019.48936143
AT2G37090,AT2G47890,-1021.04555466125
AT2G37090,AT2G22430,-1023.01963449839
AT2G37090,AT5G47230,-1033.38183387355
AT2G37090,AT1G68840,-1035.09663179053
AT2G37090,AT5G48890,-1037.17607249888
AT2G37090,AT5G17810,-1038.45700565545
AT2G37090,AT3G02940,-1038.45700565545
AT2G37090,AT2G37740,-1039.96108266334
AT2G37090,AT1G06180,-1042.96923651245
AT2G37090,AT4G16750,-1048.70142166162
AT2G37090,AT5G53980,-1050.19307644951
AT2G37090,AT5G67060,-1057.36011154865
AT2G37090,AT3G23240,-1058.85645489555
AT2G37090,AT1G49130,-1061.45914358099
AT2G37090,AT2G46970,-1063.61554489714
AT2G37090,AT3G02550,-1070.19479402027
AT2G37090,AT3G49930,-1070.30015455815
AT2G37090,AT3G25730,-1072.49737824659
AT2G37090,AT1G72360,-1078.51724596822
AT2G37090,AT2G45160,-1079.62828003244
AT2G37090,AT4G14550,-1081.91844220544
AT2G37090,AT1G52830,-1081.91844220544
AT2G37090,AT2G22770,-1084.99113422013
AT2G37090,AT3G60390,-1097.5257123993
AT2G37090,AT1G01380,-1102.22026406865
AT2G37090,AT1G52890,-1102.61330662342
AT2G37090,AT1G53230,-1110.47817768435
AT2G37090,AT1G25560,-1186.14740576174
