Target,Source,BDeu
AT5G15630,AT3G58190,-179.283273180473
AT5G15630,AT3G50330,-179.283273180473
AT5G15630,AT5G03740,-179.283273180473
AT5G15630,AT1G36060,-179.283273180473
AT5G15630,AT1G43160,-179.283273180473
AT5G15630,AT3G03660,-179.283273180473
AT5G15630,AT2G23340,-194.651651577161
AT5G15630,AT3G15210,-206.634582070469
AT5G15630,AT1G64380,-224.363114203321
AT5G15630,AT3G06740,-243.639060046471
AT5G15630,AT1G42990,-258.666749204154
AT5G15630,AT1G74840,-258.666749204154
AT5G15630,AT5G13910,-268.965409850535
AT5G15630,AT5G23280,-269.682509187425
AT5G15630,AT2G28550,-269.682509187425
AT5G15630,AT3G61630,-278.54882967519
AT5G15630,AT4G37540,-278.54882967519
AT5G15630,AT4G11140,-278.895454637635
AT5G15630,AT5G10970,-281.033735015455
AT5G15630,AT5G44260,-283.448166531778
AT5G15630,AT5G47640,-285.128077696726
AT5G15630,AT5G08330,-285.762715333145
AT5G15630,AT5G67060,-290.126059677125
AT5G15630,AT4G31550,-290.242320220196
AT5G15630,AT1G57560,-291.879928583293
AT5G15630,AT5G41570,-293.132967094232
AT5G15630,AT4G28110,-296.772779321892
AT5G15630,AT5G39610,-297.050103641458
AT5G15630,AT4G17500,-304.982090108255
AT5G15630,AT5G53980,-321.908513985062
AT5G15630,AT3G49930,-329.692151746818
AT5G15630,AT1G28370,-330.200705769154
AT5G15630,AT5G60850,-330.744061954132
AT5G15630,AT5G47220,-333.611959172556
AT5G15630,AT5G06710,-337.459111547388
AT5G15630,AT4G16750,-341.530501060155
AT5G15630,AT3G10040,-347.851467479521
AT5G15630,AT1G67100,-353.287671915006
AT5G15630,AT3G19580,-353.433956236976
AT5G15630,AT5G43170,-359.133282081238
AT5G15630,AT3G25730,-361.898091020353
AT5G15630,AT1G68840,-370.828531767967
AT5G15630,AT2G46970,-373.52869759241
AT5G15630,AT5G47230,-373.60784259505
AT5G15630,AT2G45160,-374.8169299253
AT5G15630,AT3G60390,-382.957824518528
AT5G15630,AT3G23240,-386.569749675832
AT5G15630,AT1G52890,-400.782937904024
AT5G15630,AT1G25560,-409.16173164843
