Row,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G06180,2,4,4,3,3,4,2,1,4,2,3,3,0,0,2,0,1,1,0,1,2
AT1G17310,0,0,1,0,1,2,0,1,1,2,2,3,4,4,3,2,3,4,2,3,4
AT1G44830,1,0,0,1,0,1,2,0,2,1,4,4,3,3,4,3,2,4,2,2,3
AT1G47760,3,4,4,2,4,3,2,0,1,2,0,4,0,1,1,1,0,2,3,3,2
AT1G49475,4,3,4,0,2,4,2,2,4,3,3,3,1,2,2,1,0,1,0,0,1
AT1G53230,0,0,1,2,1,0,4,0,2,2,1,2,3,4,4,3,3,4,2,3,1
AT1G71030,1,1,0,1,1,0,0,2,2,2,0,3,2,2,3,4,3,3,4,4,4
AT1G77450,3,3,4,2,3,4,3,4,4,2,2,2,1,2,1,1,0,0,0,1,0
AT1G79840,1,4,2,4,4,1,3,3,2,2,0,0,1,0,0,1,2,2,3,4,3
AT2G25900,0,1,0,2,1,0,2,0,1,2,2,1,3,3,2,3,4,3,4,4,4
AT2G36080,0,1,0,2,2,0,3,1,0,2,1,1,4,3,3,4,4,2,3,4,2
AT2G43140,1,1,0,0,0,0,1,2,2,4,1,2,4,3,4,3,2,4,3,2,3
AT2G46990,1,2,0,2,1,1,2,0,0,2,1,0,4,2,3,4,4,3,4,3,3
AT2G47890,4,2,4,1,2,4,3,4,3,3,0,1,0,1,0,0,2,1,2,2,3
AT3G01970,1,0,1,0,0,1,0,1,2,2,2,2,2,3,3,3,3,4,4,4,4
AT3G02550,2,2,0,1,1,0,1,0,0,2,3,1,2,3,4,4,3,4,2,4,3
AT3G15030,2,1,0,2,2,1,4,0,2,0,3,2,3,4,4,3,4,3,1,1,0
AT3G16770,1,2,0,0,2,0,1,2,1,2,1,0,3,3,2,4,3,3,4,4,4
AT3G56400,1,2,1,1,0,0,0,1,2,3,0,2,3,2,4,2,3,3,4,4,4
AT3G58710,3,4,2,4,4,1,3,2,0,2,0,1,1,0,0,3,2,1,3,4,2
AT3G60530,0,0,1,0,1,2,1,2,3,0,2,1,2,4,3,2,3,4,3,4,4
AT4G00180,0,1,0,3,2,0,3,1,1,2,1,0,3,3,2,4,4,2,4,4,2
AT4G00730,0,0,1,1,1,0,2,1,2,2,0,2,4,2,3,3,3,4,4,4,3
AT4G05100,3,4,4,3,4,4,1,2,3,3,1,2,0,0,2,0,0,1,1,2,2
AT4G09460,2,4,4,3,2,4,1,3,3,2,1,0,0,0,1,2,1,0,4,3,2
AT4G14550,3,4,4,4,2,3,1,4,2,3,0,1,1,0,2,0,1,0,2,2,3
AT4G29930,3,4,4,4,3,4,2,3,3,2,2,2,1,0,2,1,1,0,1,0,0
AT5G10120,3,3,4,2,2,3,2,4,4,4,2,3,1,1,0,0,1,2,0,0,1
AT5G12330,0,2,0,0,2,1,1,2,0,2,1,1,3,3,2,4,3,3,4,4,4
AT5G17490,3,4,3,2,3,4,2,4,4,2,3,2,1,2,0,1,1,1,0,0,0
AT5G17810,3,3,4,1,2,4,2,3,3,4,2,4,0,2,1,0,0,1,0,1,2
AT5G48890,0,0,1,0,0,1,1,2,4,2,1,4,3,4,3,3,2,4,2,2,3
AT5G51780,3,3,4,2,4,4,1,2,4,3,3,2,0,0,2,1,0,1,0,2,1
AT5G51790,3,4,4,4,3,2,2,2,4,3,2,2,3,1,1,0,0,1,1,0,0
AT5G53660,1,0,1,2,0,0,2,0,1,2,1,3,4,2,4,3,3,4,3,2,4
AT5G57520,1,0,1,0,2,1,1,0,2,0,2,3,2,2,4,3,3,4,3,4,4
AT5G64750,0,3,1,0,0,1,1,1,2,4,2,3,4,4,4,2,2,3,0,3,2
