Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,AT5G15630,lower_index,upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,-0.646000291976,129,130
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,-0.7988146575,59,60
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-0.844838485506,32,33
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,0.611118961035,143,144
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,-0.738345498355,98,99
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-0.711178339927,106,107
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-0.811879515931,50,51
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-0.685777296181,114,115
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,0.955363437345,2,3
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-0.750519561987,92,93
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,-0.950763013686,3,4
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,0.874235868783,19,20
